tpep_pickup_datetime,PULocationID,fare_amount,trip_distance
2025-02-01 00:04:07,137,12.8,1.78
2025-02-01 00:04:08,148,8.7,0.49
2025-02-01 00:04:08,87,11.71,1.2
2025-02-01 00:04:08,231,12.8,1.8
2025-02-01 00:04:09,140,19.8,3.78
2025-02-01 00:04:09,237,19.1,3.66
2025-02-01 00:04:10,144,11.4,1.7
2025-02-01 00:04:10,233,9.61,1.35
2025-02-01 00:04:10,211,26.8,5.63
2025-02-01 00:04:10,142,12.88,2.31
2025-02-01 00:04:10,148,12.67,1.54
2025-02-01 00:04:10,152,10.0,1.57
2025-02-01 00:04:10,163,10.0,1.26
2025-02-01 00:04:10,48,10.0,1.53
2025-02-01 00:04:11,114,21.2,3.65
2025-02-01 00:04:11,239,10.0,1.7
2025-02-01 00:04:12,68,21.9,4.78
2025-02-01 00:04:12,137,13.36,2.83
2025-02-01 00:04:12,114,17.7,3.25
2025-02-01 00:04:13,79,20.5,3.1
2025-02-01 00:04:14,68,19.48,2.85
2025-02-01 00:04:15,90,10.07,1.55
2025-02-01 00:04:16,255,27.5,5.16
2025-02-01 00:04:16,170,10.92,2.05
2025-02-01 00:04:17,148,13.14,1.78
2025-02-01 00:04:17,164,10.7,1.53
2025-02-01 00:04:20,132,70.0,17.74
2025-02-01 00:04:20,114,16.47,2.2
2025-02-01 00:04:20,249,16.3,3.36
2025-02-01 00:04:22,231,7.9,1.1
2025-02-01 00:04:22,79,14.2,2.37
2025-02-01 00:04:22,90,11.4,1.71
2025-02-01 00:04:23,249,23.09,4.06
2025-02-01 00:04:23,211,13.5,2.11
2025-02-01 00:04:23,132,73.0,19.25
2025-02-01 00:04:24,158,17.7,2.79
2025-02-01 00:04:24,144,11.58,1.69
2025-02-01 00:04:25,138,35.2,8.82
2025-02-01 00:04:26,48,41.5,7.86
2025-02-01 00:04:26,158,6.5,0.66
